SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
SFS_40,1,83,SFS15 - Rokewood_Soil-Moisture_300,2013-04-23T14:15:00.000Z,2019-07-14T23:45:00.000Z,Soil-Moisture,300,300,TRUE,mm
SFS_32,1,514,SFS33 - Dutson Downs_Soil-Moisture_900,2013-04-30T14:15:00.000Z,2017-07-30T06:15:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_55,1,516,SFS16 - Skipton_Soil-Moisture_900,2013-12-03T12:00:00.000Z,2018-10-07T20:15:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_28,1,519,SFS20 - Inverleigh1_Soil-Moisture_900,2013-04-23T14:15:00.000Z,2017-04-04T04:00:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_31,1,521,SFS30 - Lidenow_Soil-Moisture_900,2013-04-30T14:15:00.000Z,2017-05-04T22:15:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_7,1,522,SFS29 - Meerlieu_Soil-Moisture_900,2014-03-26T16:00:00.000Z,2015-07-10T07:00:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_30,1,523,SFS28 - Derrinallum3_Soil-Moisture_900,2013-04-24T14:15:00.000Z,2017-04-19T07:00:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_65,1,528,SFS34 - Rosedale_Soil-Moisture_900,2014-03-26T16:00:00.000Z,2018-08-02T02:00:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_29,1,530,SFS26 - Winchelsea2_Soil-Moisture_900,2013-05-09T14:15:00.000Z,2017-04-03T22:15:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_56,1,536,SFS45 - Learmonth_Soil-Moisture_900,2013-06-20T14:15:00.000Z,2017-03-26T23:45:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_49,1,540,SFS51 - Longford_Soil-Moisture_900,2014-07-02T14:00:00.000Z,2018-06-19T00:00:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_50,1,542,SFS52 - Nile_Soil-Moisture_900,2013-06-28T04:30:00.000Z,2016-07-15T05:38:27.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_5,1,543,SFS44  - Willaura_Soil-Moisture_900,2014-03-26T16:00:00.000Z,2014-08-04T02:15:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_34,1,544,SFS53 - Western Junction_Soil-Moisture_900,2013-09-03T23:30:00.000Z,2014-04-06T06:50:47.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_57,1,545,SFS48 - Ballan2_Soil-Moisture_900,2014-08-08T05:07:56.000Z,2016-10-10T20:15:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_19,1,546,SFS40 - Balliang East_Soil-Moisture_900,2013-09-02T02:48:10.000Z,2017-03-26T23:15:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_18,1,547,SFS39 - Lake Bolac3_Soil-Moisture_900,2013-09-06T00:21:45.000Z,2017-04-18T01:40:16.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_76,1,548,SFS17 - Woorndoo (2)_Soil-Moisture_900,2013-09-12T14:15:00.000Z,2018-04-16T23:15:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_42,1,729,SFS31 - Staughton Vale_Soil-Temperature_300,2013-05-03T03:57:56.000Z,2019-07-14T23:45:00.000Z,Soil-Temperature,300,300,TRUE,Degrees-Celcius
SFS_70,1,550,SFS49 - Cavendish_Soil-Moisture_900,2013-09-11T01:48:36.000Z,2017-04-05T23:15:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_71,1,551,SFS57 - Branxholme_Soil-Moisture_900,2013-09-11T05:27:12.000Z,2017-04-06T04:45:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_20,1,553,SFS43 - Gatum_Soil-Moisture_900,2013-09-11T03:21:47.000Z,2017-04-10T06:30:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_37,1,555,SFS62 - AWS Hagley_Soil-Moisture_900,2014-03-26T16:00:00.000Z,2016-05-13T02:59:39.000Z,Soil-Moisture,900,900,TRUE,mm
